Age,Gender,Education Level,Job Title,Years of Experience,Salary
43,Other,PhD,Data Analyst,2,78913
23,Female,PhD,Biotechnologist,9,110403
25,Female,High School,Research Scientist,7,39666
32,Other,Master's,Research Scientist,3,91913
41,Male,Bachelor's,Data Analyst,26,40868
27,Other,High School,Quality Control Specialist,10,103006
54,Female,PhD,Research Scientist,12,103999
60,Male,Master's,Data Analyst,6,58198
34,Other,High School,Lab Technician,25,43648
26,Female,Bachelor's,Quality Control Specialist,28,112772
24,Other,Master's,Research Scientist,26,67462
34,Male,PhD,Quality Control Specialist,24,108019
58,Other,Master's,Data Analyst,15,49502
47,Male,PhD,Data Analyst,10,106638
51,Male,PhD,Lab Technician,6,122103
40,Other,High School,Data Analyst,25,130352
46,Male,PhD,Data Analyst,26,140674
27,Male,High School,Data Analyst,3,137717
28,Other,PhD,Research Scientist,5,127483
24,Female,High School,Data Analyst,17,72611
50,Other,Master's,Research Scientist,19,109229
43,Male,High School,Quality Control Specialist,18,33300
36,Male,High School,Quality Control Specialist,29,120571
25,Male,High School,Biotechnologist,9,51310
35,Male,High School,Data Analyst,13,96146
52,Other,Bachelor's,Biotechnologist,30,129901
48,Other,PhD,Biotechnologist,7,48027
44,Male,Master's,Research Scientist,17,120002
44,Other,Master's,Quality Control Specialist,8,137030
46,Female,PhD,Biotechnologist,14,65789
24,Female,Bachelor's,Biotechnologist,16,102139
52,Other,Bachelor's,Lab Technician,21,66667
23,Other,PhD,Research Scientist,13,61817
27,Other,High School,Lab Technician,7,109026
60,Other,Bachelor's,Biotechnologist,10,69764
42,Other,Master's,Data Analyst,13,37409
48,Male,High School,Quality Control Specialist,16,50377
33,Male,Master's,Biotechnologist,0,115843
22,Male,Master's,Quality Control Specialist,11,127547
25,Other,Master's,Lab Technician,27,128272
30,Female,Master's,Lab Technician,9,108736
56,Other,Bachelor's,Data Analyst,3,149360
22,Female,High School,Lab Technician,7,116947
48,Female,PhD,Lab Technician,5,140649
32,Other,PhD,Lab Technician,27,126746
47,Male,Master's,Biotechnologist,2,32611
54,Male,PhD,Lab Technician,16,137711
43,Other,Bachelor's,Research Scientist,26,96038
30,Male,PhD,Biotechnologist,21,103932
54,Other,Master's,Lab Technician,20,31887
58,Other,Master's,Quality Control Specialist,11,149963
33,Female,PhD,Data Analyst,27,90086
37,Female,Master's,Biotechnologist,2,34800
42,Other,Master's,Lab Technician,25,42704
56,Male,Bachelor's,Lab Technician,8,36327
22,Other,Bachelor's,Research Scientist,28,108794
55,Female,High School,Biotechnologist,13,148524
54,Female,PhD,Data Analyst,14,80173
35,Other,High School,Biotechnologist,17,112547
34,Female,High School,Lab Technician,9,117329
51,Other,High School,Data Analyst,0,131226
28,Female,Master's,Data Analyst,15,145392
38,Male,High School,Data Analyst,30,41409
38,Other,PhD,Biotechnologist,15,111702
55,Other,High School,Data Analyst,14,130782
49,Male,High School,Biotechnologist,12,118781
41,Male,High School,Research Scientist,21,39424
29,Other,Bachelor's,Biotechnologist,27,122695
30,Other,High School,Lab Technician,30,99375
59,Other,Master's,Biotechnologist,27,123116
36,Female,Master's,Lab Technician,19,71183
52,Male,High School,Data Analyst,2,113303
23,Other,PhD,Biotechnologist,7,83751
37,Female,Master's,Biotechnologist,15,70496
39,Male,Master's,Quality Control Specialist,14,98293
37,Other,High School,Lab Technician,22,47069
30,Female,Master's,Biotechnologist,9,142430
60,Other,PhD,Quality Control Specialist,8,63299
44,Male,Bachelor's,Research Scientist,3,148930
43,Male,High School,Quality Control Specialist,22,74352
41,Male,High School,Lab Technician,25,140578
50,Male,Bachelor's,Quality Control Specialist,16,82308
34,Other,Master's,Quality Control Specialist,16,52834
43,Female,Bachelor's,Biotechnologist,19,96458
52,Female,PhD,Quality Control Specialist,29,67129
47,Male,PhD,Biotechnologist,3,104339
43,Male,Master's,Research Scientist,15,92297
59,Female,High School,Research Scientist,8,93758
53,Male,Master's,Biotechnologist,28,66253
29,Female,Bachelor's,Quality Control Specialist,15,123465
27,Other,Master's,Data Analyst,4,57149
23,Female,High School,Lab Technician,19,75689
33,Female,Master's,Research Scientist,1,36742
47,Other,High School,Data Analyst,22,45708
22,Male,High School,Data Analyst,27,118535
28,Other,High School,Lab Technician,19,125371
30,Female,PhD,Research Scientist,24,149805
45,Female,Master's,Quality Control Specialist,9,146587
31,Male,Master's,Research Scientist,11,49128
54,Male,PhD,Data Analyst,2,68487
